movieId	title	user_id	rating	plot
1	Toy Story	0	7	A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
14	Nixon	0	8	A biographical story of former U.S. President Richard Milhous Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.
150	Apollo 13	0	9	NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
163	Desperado	0	7	A gunslinger's embroiled in a war with a local drug runner.
168	First Knight	0	6	Lancelot falls in love with Guinevere, who is due to be married to King Arthur. Meanwhile, a violent warlord tries to seize power from Arthur and his Knights of the Round Table.
208	Waterworld	0	6	In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw smokers, and reluctantly helps a woman and a young girl try to find dry land.
356	Forrest Gump	0	8	The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.
380	True Lies	0	6	A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used car salesman while terrorists smuggle nuclear war heads into the United States.
588	Aladdin	0	8	A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
595	Beauty and the Beast	0	6	A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
914	My Fair Lady	0	7	Snobbish phonetics Professor Henry Higgins (Sir Rex Harrison) agrees to a wager that he can make flower girl Eliza Doolittle (Audrey Hepburn) presentable in high society.
924	2001: A Space Odyssey	0	10	After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.
1200	Aliens	0	8	Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?
1214	Alien	0	8	After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun.
1215	Army of Darkness	0	7	A man is accidentally transported to 1300 A.D., where he must battle an army of the dead and retrieve the Necronomicon so he can return home.
1225	Amadeus	0	7	The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.
1272	Patton	0	7	The World War II phase of the career of the controversial American general, George S. Patton.
1291	Indiana Jones and the Last Crusade	0	7	In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry Indiana Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.
1396	Sneakers	0	8	A security pro finds his past coming back to haunt him, when he and his unique team are tasked with retrieving a particularly important item.
1483	Crash	0	6	Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.
1566	Hercules	0	6	The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.
1584	Contact	0	9	Dr. Ellie Arroway (Jodie Foster), after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.
1619	Seven Years in Tibet	0	7	True story of Heinrich Harrer, an Austrian mountain climber who became friends with the Dalai Lama at the time of China's takeover of Tibet.
1653	Gattaca	0	9	A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.
1676	Starship Troopers	0	6	Humans in a fascist, militaristic future wage war with giant alien bugs.
1704	Good Will Hunting	0	9	Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.
1779	Sphere	0	7	A spaceship is discovered under three hundred years' worth of coral growth at the bottom of the ocean.
1876	Deep Impact	0	8	Unless a comet can be destroyed before colliding with Earth, only those allowed into shelters will survive. Which people will survive?
1882	Godzilla	0	6	The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity.
1961	Rain Man	0	6	Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.
2028	Saving Private Ryan	0	10	Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.
2115	Indiana Jones and the Temple of Doom	0	6	In 1935, Indiana Jones arrives in India, still part of the British Empire, and is asked to find a mystical stone. He then stumbles upon a secret cult committing enslavement and human sacrifices in the catacombs of an ancient palace.
2193	Willow	0	7	A reluctant dwarf must play a critical role in protecting a special baby from an evil queen.
2252	Hero	0	7	A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.
2336	Elizabeth	0	7	The early years of the reign of Elizabeth I of England and her difficult task of learning what is necessary to be a monarch.
2890	Three Kings	0	6	In the aftermath of the Persian Gulf War, four soldiers set out to steal gold that was stolen from Kuwait, but they discover people who desperately need their help.
3033	Spaceballs	0	7	A rogue star pilot and his trusty sidekick must come to the rescue of a Princess and save the galaxy from a ruthless race of beings known as Spaceballs.
3081	Sleepy Hollow	0	7	Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people, with the culprit being the legendary apparition, The Headless Horseman.
3114	Toy Story 2	0	7	When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.
3175	Galaxy Quest	0	8	The alumni cast of a space opera television series have to play their roles as the real thing when an alien race needs their help. However, they also have to defend both Earth and the alien race from a reptilian warlord.
3307	City Lights	0	8	With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.
3494	True Grit	0	8	A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.
3510	Frequency	0	7	An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences.
3527	Predator	0	6	A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.
3578	Gladiator	0	6	A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
3668	Romeo and Juliet	0	7	When two young members of feuding families meet, forbidden love ensues.
3720	Sunshine	0	7	A team of international astronauts are sent on a dangerous mission to reignite the dying Sun with a nuclear fission bomb in 2057.
3751	Chicken Run	0	9	When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.
3793	X-Men	0	6	In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.
3827	Space Cowboys	0	7	When retired engineer Frank Corvin (Clint Eastwood) is called upon to rescue a failing satellite, he insists that his equally old teammates accompany him into space.
3998	Proof of Life	0	7	Alice hires a professional negotiator to obtain the release of her engineer husband, who has been kidnapped by anti-government guerrillas in South America.
