movieId,title,user_id,rating
1,Toy Story,0,7
14,Nixon,0,8
150,Apollo 13,0,9
163,Desperado,0,7
168,First Knight,0,6
208,Waterworld,0,6
356,Forrest Gump,0,8
380,True Lies,0,6
588,Aladdin,0,8
595,Beauty and the Beast,0,6
914,My Fair Lady,0,7
924,2001: A Space Odyssey,0,10
1200,Aliens,0,8
1214,Alien,0,8
1215,Army of Darkness,0,7
1225,Amadeus,0,7
1272,Patton,0,7
1291,Indiana Jones and the Last Crusade,0,7
1396,Sneakers,0,8
1483,Crash,0,6
1566,Hercules,0,6
1584,Contact,0,9
1619,Seven Years in Tibet,0,7
1653,Gattaca,0,9
1676,Starship Troopers,0,6
1704,Good Will Hunting,0,9
1779,Sphere,0,7
1876,Deep Impact,0,8
1882,Godzilla,0,6
1961,Rain Man,0,6
2028,Saving Private Ryan,0,10
2115,Indiana Jones and the Temple of Doom,0,6
2193,Willow,0,7
2252,Hero,0,7
2336,Elizabeth,0,7
2890,Three Kings,0,6
3033,Spaceballs,0,7
3081,Sleepy Hollow,0,7
3114,Toy Story 2,0,7
3175,Galaxy Quest,0,8
3307,City Lights,0,8
3494,True Grit,0,8
3510,Frequency,0,7
3527,Predator,0,6
3578,Gladiator,0,6
3668,Romeo and Juliet,0,7
3720,Sunshine,0,7
3751,Chicken Run,0,9
3793,X-Men,0,6
3827,Space Cowboys,0,7
3998,Proof of Life,0,7
4014,Chocolat,0,7
4017,Pollock,0,8
4019,Finding Forrester,0,7
4022,Cast Away,0,10
4025,Miss Congeniality,0,6
4246,Bridget Jones's Diary,0,6
4306,Shrek,0,6
4308,Moulin Rouge,0,7
4719,Osmosis Jones,0,6
4901,Spy Game,0,8
5010,Black Hawk Down,0,6
5410,Silent Running,0,8
5445,Minority Report,0,8
5628,Wasabi,0,6
5796,Casino Royale,0,7
5903,Equilibrium,0,6
5989,Catch Me If You Can,0,9
6942,Love Actually,0,7
7147,Big Fish,0,7
7163,Paycheck,0,7
7293,50 First Dates,0,6
7579,Pride and Prejudice,0,7
8158,Rush,0,7
8360,Shrek 2,0,6
8784,Garden State,0,7
8807,Harold and Kumar Go to White Castle,0,6
8907,Shark Tale,0,6
8949,Sideways,0,7
8958,Ray,0,7
25825,Fury,0,7
26764,Captain America,0,7
30707,Million Dollar Baby,0,8
31685,Hitch,0,7
31696,Constantine,0,6
33162,Kingdom of Heaven,0,7
33649,Saving Face,0,7
33794,Batman Begins,0,8
34048,War of the Worlds,0,6
34162,Wedding Crashers,0,6
34405,Serenity,0,7
36529,Lord of War,0,8
40278,Jarhead,0,6
40851,Zathura,0,7
